id,officialName,nickname,operator,servicePopulation,serviceCategory,admissionType,lockedStatus,dropIn,dropInNotes,dropOff,dropOffNotes,acceptedFrom,acceptedFromNotes,intakeComplexity,medicalClearance,eligibilitySummary,lengthOfStay,bedsDph,capacityConstraints,programAddress,intakeAddress,waitLocation,hoursOperation,hoursIntake,transportIn,transportOut,transportSupport,serviceRegion,neighborhood,primaryServiceArea,contact,mvp,adaAccessible,keyAccessNotes
a_womans_place,Community Forward SF - A Woman's Place,A Woman's Place,Community Forward,SUD,Respite,Voluntary,Unlocked,Yes,,Yes,,Community|Self|Police|StreetTeams,,Immediate Walk-through,No,Women and trans women (with children ok); 18+; ambulatory; ADL independent,>24 hours,23,Yes,"1049 Howard St, San Francisco, CA","1171 Mission Street, San Francisco, CA",Inside,24/7,,No,No,CF vans likely not used,All SF,SOMA,Mostly TL/PEH,(415) 293-7360 (24/7 Drop-in),FALSE,Yes,Interim safe space; multiple funding sources create complexity
gubbio,The Gubbio Project,Gubbio,The Gubbio Project,,Respite,Voluntary,Unlocked,Yes,,Yes,,Self|Community|Police|StreetTeams,,Immediate Walk-through,No,PEH; 18+; respectful of quiet space; ADL independent,<24 hours,,No,"1661 15th Street, San Francisco, CA","1661 15th Street, San Francisco, CA",Inside,Mon-Fri 7am-7pm; Sat 7am-2pm,Mon-Fri 7am-7pm,None,None,None,Mission-focus,Mission,Mission corridor (16th & Mission),(415) 861-5848,FALSE,Yes,No PHI collected; numerous on-site partner services
hh_tl_shc,Hospitality House - Tenderloin Self-Help Center,TL Self-Help Center,Hospitality House,,Respite,Voluntary,Unlocked,Yes,,Yes,Not police/EMS,Self|Community|StreetTeams,No police/EMS accepted,Immediate Walk-through,No,Voluntary participation; will not accept police forced referrals,>24 hours,,No,"146 Leavenworth Street, San Francisco, CA","146 Leavenworth Street, San Francisco, CA",Inside,Mon-Fri 7am-7pm,Mon-Fri 7am-7pm,None,None,None,TL-focus,Tenderloin,Tenderloin,(415) 749-2100,FALSE,Yes,Peer-based; no police-forced referrals; low-threshold
hh_6th_shc,Hospitality House - 6th street + Extended Program,6th St Self Help Center+,Hospitality House,,Respite,Voluntary,Unlocked,Yes,,Yes,Not police/EMS,Self|Community|StreetTeams,No police/EMS accepted,Immediate Walk-through,No,Voluntary participation; no forced referrals,>24 hours,20,No,"169 Sixth Street, San Francisco, CA","169 Sixth Street, San Francisco, CA",Inside,Mon-Fri 9am-10pm; Extended 5pm-10pm,Mon-Fri 9am-10pm,None,None,None,SOMA-focus,SOMA,6th Street/SOMA corridor,415-369-3040,FALSE,Yes,Naloxone training/distribution; expanding triage space
hh_community_building,Hospitality House - Community Building Program,Community Building Program,Hospitality House,,Respite,Voluntary,Unlocked,Yes,,Yes,Not police/EMS,Community|Self,No police/EMS accepted,Immediate Walk-through,No,Multi-diagnosed; multiply traumatized; homeless; at-risk TL adults and families,>24 hours,25,No,"290 Turk Street, San Francisco, CA","290 Turk Street, San Francisco, CA",Inside,Mon-Fri 9am-5pm,Mon-Fri 9am-5pm,None,None,None,TL-focus,Tenderloin,Tenderloin,415-749-2100,FALSE,Yes,HOLD program; flex fund; placed 48 in permanent housing
community_living_room,SF Community Living Room,Community Living Room,SF Community Health Center; Code Tenderloin; Glide,,Respite,Voluntary,Unlocked,Yes,,Yes,Not police,Self|Community|StreetTeams,No police,Immediate Walk-through,No,No eligibility; intended for PEH in TL; 18+; ADL independent,<24 hours,35,No,"730 Polk Street, San Francisco, CA","730 Polk Street, San Francisco, CA",Inside,"Mon-Fri 9am-12pm, 1pm-5pm","Mon-Fri 9am-12pm, 1pm-5pm",None,None,None,TL/Civic Center,TL/Civic Center,TL/Civic Center,,FALSE,Yes,Run by Community Ambassadors; on-site wellness clinic (FQHC); no EHR integration; housing CM has CE access
sa_harbor_lights_wm,SA Harbor Lights Detox WM,SA WM,Salvation Army,SUD,SUD WM,Voluntary,Unlocked,Yes,,Yes,Jail transport accepted,Self|Police|Hospital/ED,Jail transport accepted,Full Assessment Required,,18+; SUD; ambulatory; ADL independent,>24 hours,0,Yes,"1275 Harrison St, San Francisco, CA","42 McLee Court, San Francisco, CA",,24/7,Mon-Fri 9am-10pm; Sat 9am-6pm,Yes (jail),No,None,All SF,SOMA,Citywide,(415) 345-3400,FALSE,Yes,
sa_starr,Salvation Army STARR,STARR,Salvation Army,SUD,SUD Subacute,Voluntary,Unlocked,No,Walk-in if justice-involved,Yes,DPH referral paperwork; Police Mon-Fri 9am-8pm,Justice/Courts|Police|BHACAuthorized,DPH referral with extensive paperwork,Full Assessment Required,TB clearance + COVID screening,Justice-involved focus; ambulatory; ADL independent,>24 hours,,,"1275 Harrison St, San Francisco, CA","1275 Harrison St, San Francisco, CA",On-site (same campus),,Mon-Fri 9am-8pm,Courts/jail transport; BHAC walkover,None,None,Citywide,SOMA,Citywide,,FALSE,,Not following ASAM documentation standards; no HIPAA-compliant clinical notes; no DPH access to client activities/services
kean_stabilization,Kean Stabilization Center (Eleanora Fagan Center),Kean Stabilization,Westside,SUD,SUD Subacute,,,,,,,,,,,,,0,,"1018 Mission St, San Francisco, CA","1018 Mission St, San Francisco, CA",,,,,,,SOMA,,,,FALSE,,
medical_respite,SFDPH Medical Respite Hospital & Shelter Referral,Medical Respite,SF DPH,MH,Respite,,,No,Referral-based via hospital/shelter,No,,Hospital/ED,Referral required,Pre-Authorization Required,,,,65,,"1171 Mission St, San Francisco, CA","1171 Mission St, San Francisco, CA",,,,,,,All SF,SOMA,Citywide,,FALSE,,
safe_sleep,Safe Sleep,Safe Sleep,Gubbio Project,SUD,Respite,Voluntary,Unlocked,Yes,,No,,Self|Community,,Immediate Walk-through,No,,,,,"1661 15th St, San Francisco, CA","1661 15th St, San Francisco, CA",,,,None,None,None,Mission-focus,Mission,Mission corridor (16th & Mission),,FALSE,,
